Designator,Mid X,Mid Y,Layer,Rotation
3V3_LED1,187.2725mm,63.004823mm,top,180
12VDC_IN1,205.475mm,88.844823mm,top,90
AIN3,138.2mm,87.6125mm,top,90
C3,194.76mm,66.154823mm,top,90
C4,191.76mm,66.054823mm,top,90
C5,179.41mm,64.317323mm,top,90
C6,176.76mm,64.317323mm,top,90
C7,194.46mm,108.244823mm,top,90
C8,143.85mm,109.75mm,top,180
C9,143.7875mm,111.6mm,top,180
C10,154.75mm,100.8375mm,top,90
C12,169.4625mm,87.1mm,top,180
C14,121.35mm,95.9mm,top,270
C15,163.3375mm,96.05mm,top,0
C16,116.05mm,66.35mm,top,90
C17,163.2875mm,98mm,top,0
C18,114.45mm,66.3625mm,top,90
C19,124.45mm,95.775mm,top,270
C20,120.59mm,111.295mm,top,270
C21,122.29mm,111.3075mm,top,270
C22,133.85mm,94.25mm,top,0
C23,140.05mm,99.95mm,top,0
C24,140.0375mm,101.7mm,top,0
C25,140.05mm,87.5875mm,top,90
C26,134.85mm,104.1mm,top,270
C27,129.6mm,110.0625mm,top,270
C28,108.1625mm,97.75mm,top,0
C29,129.7mm,98.2mm,top,270
C30,135.25mm,85.1375mm,top,90
C31,140.05mm,98.3mm,top,0
C32,133.85mm,92.35mm,top,0
C33,108.175mm,100.3mm,top,180
ESP32,156.2mm,83.71mm,top,180
IC3,176.964mm,85.9mm,top,0
IC5,138.975mm,93.462mm,top,270
L1,204.15mm,69.9325mm,top,180
R2,116.4mm,72.15mm,top,180
R3,116.35mm,75.15mm,top,180
R4,118.95mm,78.45mm,top,0
R5,125.5mm,78.05mm,top,270
R9,175.73mm,109.864823mm,top,0
R10,190.59mm,108.244823mm,top,270
R11,169.4mm,89.8mm,top,180
R12,144mm,77.5mm,top,90
R13,160.05mm,100.8mm,top,90
R14,157.45mm,100.8mm,top,90
R18,143.95mm,87.1mm,top,0
R19,143.0375mm,85.2mm,top,0
R20,128.05mm,106mm,top,180
R21,108.35mm,110.2mm,top,180
R22,128.05mm,102.4mm,top,0
R23,131.1mm,86.5mm,top,0
R24,133.8875mm,90.5mm,top,0
R25,183.41mm,64.804823mm,top,90
R26,120.7mm,68.55mm,top,0
R27,117.95mm,95mm,top,180
R28,125.5mm,110.7mm,top,0
R29,108.125mm,95.3mm,top,0
U1,149.525mm,103.325mm,top,270
